,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Value,Name used in spreadsheet,,,,,,,,,,,,,,,,,,
Key input parameters in model ,,,,,,,,,,,,,,,,,,,,,,,,
Size of time step (days),,,,,0.5,t_step,,,,,,,,,,,,,,,,,,
Total population size,,,,,5234,tot_popn,,,,,,,,,,,,,,,,,,
Average pre-infectious period (days) ,,,,,2,ave_preinfous,,,,,,,,,,,,,,,,,,
Average duration of infectiousness (days),,,,,2,ave_infous,,,,,,,,,,,,,,,,,,
R0,,,,,2.1,R0,,,,,,,,,,,,,,,,,,
Proportion immune at the start,,,,,0.3,prop_immune_0,,,,,,,,,,,,,,,,,,
Proportion of those infectious who are reported as cases,,,,,0.8,prop_reported,,,,,,,,,,,,,,,,,,
Number infectious at the start,,,,,2,infous_0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Rate at which two specific individuals come into effective contact per time step,,,,,0.000100306,beta,,,,,,,,,,,,,,,,,,
Average rate of onset of infectiousness per time step (f),,,,,0.25,infous_rate,,,,,,,,,,,,,,,,,,
Average recovery rate per time step (r ),,,,,0.25,rec_rate,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Goodness of fit (loglikelihood deviance),,,1733.264549,,,,,,,,,,,,,,,,,,,,,
23,3595.036201,12.50854081,10.40634282,1616.048915,2.977768108,2.382214486,,,,,,,,,,,,,,,,,,
23.5,3591.283647,13.13395988,10.93189232,1618.650501,3.127135202,2.501708161,,,,,,,,,,,,,,,,,,
24,3587.345693,13.7884239,11.48240921,1621.383474,3.283489969,2.626791976,,,,,,,,,,,,,,,,,,
24.5,3583.213964,14.47304699,12.05891288,1624.254076,3.447105976,2.757684781,,,,,,,,,,,,,,,,,,
25,3578.879788,15.18896066,12.66244641,1627.268805,3.618261746,2.894609397,,,,,,,,,,,,,,,,,,
25.5,3574.334198,15.93731107,13.29407497,1630.434416,3.797240164,3.037792131,,,,,,,,,,,,,,,,,,
26,3569.567925,16.71925577,13.954884,1633.757935,3.984327768,3.187462215,,,,,,,,,,,,,,,,,,
26.5,3564.571407,17.53595994,14.64597694,1637.246656,4.179813942,3.343851153,,,,,,,,,,,,,,,,,,
27,3559.334785,18.38859225,15.36847269,1640.90815,4.383989985,3.507191988,,,,,,,,,,,,,,,,,,
27.5,3553.847909,19.27832004,16.12350258,1644.750268,4.597148062,3.67771845,,,,,,,,,,,,,,,,,,
28,3548.100345,20.20630401,16.91220694,1648.781144,4.819580009,3.855664007,40.25508305,,,,,,,,,,,,,,,,,
28.5,3542.081381,21.17369224,17.73573121,1653.009196,5.051576001,4.041260801,,,,,,,,,,,,,,,,,,
29,3535.780036,22.18161361,18.59522147,1657.443129,5.293423061,4.234738449,,,,,,,,,,,,,,,,,,
29.5,3529.185076,23.23117042,19.4918195,1662.091934,5.545403402,4.436322722,,,,,,,,,,,,,,,,,,
30,3522.285024,24.32343039,20.42665723,1666.964889,5.807792604,4.646234083,,,,,,,,,,,,,,,,,,
30.5,3515.068179,25.45941787,21.40085052,1672.071553,6.080857598,4.864686079,,,,,,,,,,,,,,,,,,
31,3507.522638,26.64010421,22.41549236,1677.421766,6.364854469,5.091883575,,,,,,,,,,,,,,,,,,
31.5,3499.636319,27.86639734,23.47164532,1683.025639,6.660026052,5.328020841,,,,,,,,,,,,,,,,,,
32,3491.396986,29.13913059,24.57033333,1688.89355,6.966599335,5.573279468,,,,,,,,,,,,,,,,,,
32.5,3482.792283,30.45905057,25.71253264,1695.036133,7.284782649,5.827826119,,,,,,,,,,,,,,,,,,
33,3473.809767,31.82680425,26.89916213,1701.464267,7.614762643,6.091810115,,,,,,,,,,,,,,,,,,
33.5,3464.436945,33.24292519,28.13107266,1708.189057,7.956701061,6.365360849,,,,,,,,,,,,,,,,,,
34,3454.66132,34.70781901,29.40903579,1715.221825,8.310731297,6.648585037,,,,,,,,,,,,,,,,,,
34.5,3444.470436,36.22174803,30.73373159,1722.574084,8.676954753,6.941563802,,,,,,,,,,,,,,,,,,
35,3433.851932,37.78481516,32.1057357,1730.257517,9.055437007,7.244349606,77.33592155,,,,,,,,,,,,,,,,,
35.5,3422.793596,39.39694723,33.52550557,1738.283951,9.446203791,7.556963033,,,,,,,,,,,,,,,,,,
36,3411.283429,41.0578776,34.99336598,1746.665327,9.849236806,7.879389445,,,,,,,,,,,,,,,,,,
36.5,3399.309709,42.76712849,36.50949389,1755.413669,10.2644694,8.21157552,,,,,,,,,,,,,,,,,,
37,3386.861062,44.5239928,38.07390254,1764.541042,10.69178212,8.553425698,,,,,,,,,,,,,,,,,,
37.5,3373.926541,46.32751589,39.6864251,1774.059518,11.1309982,8.90479856,,,,,,,,,,,,,,,,,,
38,3360.495701,48.1764773,41.3466978,1783.981124,11.58187897,9.265503179,,,,,,,,,,,,,,,,,,
38.5,3346.558686,50.06937271,43.05414268,1794.317799,12.04411933,9.63529546,,,,,,,,,,,,,,,,,,
39,3332.106319,52.00439635,44.80795018,1805.081334,12.51734318,10.01387454,,,,,,,,,,,,,,,,,,
39.5,3317.130192,53.97942419,46.60706173,1816.283322,13.00109909,10.40087927,,,,,,,,,,,,,,,,,,
40,3301.622762,55.99199804,48.45015234,1827.935087,13.49485605,10.79588484,,,,,,,,,,,,,,,,,,
40.5,3285.57745,58.03931111,50.33561377,1840.047626,13.99799951,11.19839961,,,,,,,,,,,,,,,,,,
41,3268.988738,60.11819516,52.2615381,1852.631529,14.50982778,11.60786222,,,,,,,,,,,,,,,,,,
41.5,3251.852274,62.22510973,54.22570237,1865.696914,15.02954879,12.02363903,,,,,,,,,,,,,,,,,,
42,3234.164973,64.35613381,56.22555421,1879.253339,15.55627743,12.44502195,138.4925124,,,,,,,,,,,,,,,,,
42.5,3215.925113,66.5069603,58.25819911,1893.309728,16.08903345,12.87122676,,,,,,,,,,,,,,,,,,
43,3197.132439,68.67289369,60.32038941,1907.874277,16.62674008,13.30139206,,,,,,,,,,,,,,,,,,
43.5,3177.788258,70.84885134,62.40851548,1922.954375,17.16822342,13.73457874,,,,,,,,,,,,,,,,,,
44,3157.895528,73.02936874,64.51859944,1938.556504,17.71221283,14.16977027,,,,,,,,,,,,,,,,,,
44.5,3137.458946,75.20860914,66.64629177,1954.686154,18.25734218,14.60587375,,,,,,,,,,,,,,,,,,
45,3116.485025,77.3803778,68.78687111,1971.347726,18.80215228,15.04172183,,,,,,,,,,,,,,,,,,
45.5,3094.982167,79.53814124,70.93524778,1988.544444,19.34509445,15.47607556,,,,,,,,,,,,,,,,,,
