,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Value,Name used in spreadsheet,,,,,,,,,,,
Key input parameters in model ,,,,,,,,,,,,,,,,,
Size of time step (days),,,,,1,t_step,,,,,,,,,,,
Total population size,,,,,100000,tot_popn,,,,,,,,,,,
Average pre-infectious period (days) ,,,,,2,ave_preinfous,,,,,,,,,,,
Average duration of infectiousness (days),,,,,2,ave_infous,,,,,,,,,,,
R0,,,,,2,R0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rate at which two specific individuals come into effective contact per time step,,,,,0.00001,beta,,,,,,,,,,,
Average rate of onset of infectiousness per time step (f),,,,,0.5,infous_rate,,,,,,,,,,,
Average recovery rate per time step (r ),,,,,0.5,rec_rate,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
40,95700.49053,1224.745689,882.3848653,2192.378915,711.1912678,513.5544214,,100000,,,17384.00629,372.1155905,82243.87812,96.39435371,,,
41,94856.04389,1456.819489,1053.565277,2633.571347,844.4466444,612.3728446,,100000,,,17319.3177,250.7463929,82429.93591,64.68859766,,,
42,93856.67354,1727.780086,1255.192383,3160.353986,999.3703418,728.4097445,,100000,,,17275.89013,168.8007608,82555.30911,43.42756439,,,
43,92678.59173,2041.971861,1491.486235,3787.950178,1178.081817,863.8900431,,100000,,,17246.7283,113.5622144,82639.70949,29.16183398,,,
44,91296.30329,2403.274368,1766.729048,4533.693295,1382.288438,1020.98593,,100000,,,17227.14253,76.36687377,82696.4906,19.58576657,,,
45,89683.34498,2814.595494,2085.001708,5417.057819,1612.95831,1201.637184,,100000,,,17213.9867,51.33926707,82734.67403,13.15583019,,,
46,87813.4457,3277.197022,2449.798601,6459.558673,1869.899275,1407.297747,,100000,,,17205.14917,34.50716814,82760.34367,8.837534606,,,
47,85662.19314,3789.851075,2863.497811,7684.457973,2151.252564,1638.598511,,100000,,,17199.21216,23.19059382,82777.59725,5.937009752,,,
48,83209.25811,4347.860563,3326.674443,9116.206879,2452.935026,1894.925538,,100000,,,17195.22356,15.58389634,82789.19255,3.988599432,,,
49,80441.15699,4942.031406,3837.267503,10779.5441,2768.101124,2173.930282,,100000,,,17192.54387,10.47163399,82796.9845,2.679685815,,,
50,77354.41461,5557.758079,4389.649454,12698.17785,3086.742376,2471.015703,,100000,,,17190.74353,7.036157261,82802.22031,1.800340267,,,
51,73958.82698,6174.466679,4973.703767,14893.00258,3395.587639,2778.87904,,100000,,,17189.53396,4.727646379,82805.73839,1.209567749,,,
52,70280.33401,6765.726302,5574.085223,17379.85446,3678.492963,3087.233339,,100000,,,17188.7213,3.17648357,82808.10221,0.81266038,,,
53,66362.8483,7300.348864,6169.905763,20166.89707,3917.485713,3382.863151,,100000,,,17188.17531,2.134238693,82809.69046,0.545996908,,,
54,62268.3231,7744.699633,6735.127313,23251.84996,4094.525201,3650.174432,,100000,,,17187.80847,1.433956034,82810.75758,0.366836688,,,
55,58074.47226,8066.200653,7239.913473,26619.41361,4193.850836,3872.349817,,100000,,,17187.562,0.963443634,82811.47455,0.246465617,,,
56,53869.93072,8237.641868,7653.057063,30239.37035,4204.541542,4033.100327,,100000,,,17187.39641,0.647314289,82811.95628,0.165592472,,,
57,49747.23418,8241.517472,7945.349466,34065.89888,4122.696538,4118.820934,,100000,,,17187.28515,0.434913617,82812.27993,0.111256473,,,
58,45794.64258,8073.350341,8093.433469,38038.57361,3952.591605,4120.758736,,100000,,,17187.2104,0.292206652,82812.49739,0.074749844,,,
59,42088.28365,7743.0341,8083.391905,42085.29035,3706.358929,4036.675171,,100000,,,17187.16018,0.196325498,82812.64349,0.050222172,,,
60,38686.12273,7273.677963,7913.213003,46126.9863,3402.160913,3871.51705,,100000,,,17187.12644,0.131905527,82812.74166,0.033742778,,,
61,35624.80744,6698.154276,7593.445483,50083.5928,3061.315294,3636.838982,,100000,,,17187.10377,0.088623533,82812.80761,0.02267077,,,
62,32919.65711,6054.227469,7145.79988,53880.31554,2705.150331,3349.077138,,100000,,,17187.08854,0.059543585,82812.85192,0.015231819,,,
63,30567.28429,5379.486553,6600.013674,57453.21548,2352.372818,3027.113735,,100000,,,17187.0783,0.040005601,82812.88169,0.010233809,,,
64,28549.83935,4707.188219,5989.750114,60753.22232,2017.444943,2689.743276,,100000,,,17187.07143,0.026878595,82812.90169,0.006875794,,,
65,26839.77531,4063.658144,5348.469166,63748.09738,1710.064035,2353.59411,,100000,,,17187.06681,0.018058941,82812.91513,0.004619643,,,
66,25404.25821,3467.346179,4706.063655,66422.33196,1435.517107,2031.829072,,100000,,,17187.0637,0.012133272,82812.92416,0.003103802,,,
67,24208.71764,2929.213652,4086.704917,68775.36379,1195.540562,1733.67309,,100000,,,17187.06162,0.00815199,82812.93023,0.002085353,,,
68,23219.37879,2453.94568,3507.959285,70818.71625,989.3388543,1464.606826,,100000,,,17187.06022,0.005477082,82812.93431,0.001401087,,,
69,22404.85243,2041.499194,2980.952482,72572.69589,814.526354,1226.97284,,100000,,,17187.05928,0.003679891,82812.93704,0.000941349,,,
70,21736.97443,1688.627602,2511.225838,74063.17213,667.8780048,1020.749597,,100000,,,17187.05864,0.00247241,82812.93888,0.000632465,,,
71,21191.10991,1390.178319,2099.92672,75318.78505,545.8645184,844.313801,,100000,,,17187.05822,0.00166114,82812.94012,0.000424935,,,
72,20746.11213,1140.086939,1745.05252,76368.74841,444.9977793,695.0891597,,100000,,,17187.05793,0.001116071,82812.94095,0.000285501,,,
73,20384.08158,932.074022,1442.569729,77241.27467,362.0305525,570.0434695,,100000,,,17187.05774,0.000749855,82812.94151,0.00019182,,,
74,20090.02699,760.0916015,1187.321876,77962.55953,294.0545905,466.037011,,100000,,,17187.05761,0.000503806,82812.94188,0.000128878,,,
75,19851.4937,618.579086,973.7067386,78556.22047,238.5332853,380.0458007,,100000,,,17187.05753,0.000338492,82812.94214,8.65894E-05,,,
76,19658.19837,502.5848749,796.1429123,79043.07384,193.2953319,309.289543,,100000,,,17187.05747,0.000227423,82812.94231,5.81768E-05,,,
77,19501.69102,407.7997905,649.3638936,79441.1453,156.507353,251.2924375,,100000,,,17187.05743,0.000152799,82812.94242,3.90873E-05,,,
78,19375.05408,330.5368354,528.581842,79765.82724,126.6369401,203.8998952,,100000,,,17187.0574,0.000102661,82812.9425,2.62616E-05,,,
79,19272.64106,267.6814354,429.5593387,80030.11816,102.4130177,165.2684177,,100000,,,17187.05738,6.89749E-05,82812.94255,1.76444E-05,,,
80,19189.85363,216.6281472,348.6203871,80244.89783,82.78742949,133.8407177,,100000,,,17187.05737,4.63422E-05,82812.94258,1.18548E-05,,,
81,19122.95389,175.2138156,282.6242671,80419.20803,66.89974201,108.3140736,,100000,,,17187.05736,3.1136E-05,82812.9426,7.96486E-06,,,
82,19068.90778,141.6530161,228.9190414,80560.52016,54.04610829,87.60690781,,100000,,,17187.05736,2.09193E-05,82812.94262,5.35136E-06,,,
83,19025.25542,114.4788689,185.2860287,80674.97968,43.65236089,70.82650805,,100000,,,17187.05736,1.40551E-05,82812.94263,3.59542E-06,,,
84,18990.00428,92.49057469,149.8824488,80767.6227,35.25114022,57.23943447,,100000,,,17187.05735,9.4432E-06,82812.94264,2.41566E-06,,,
85,18961.5416,74.7079708,121.1865118,80842.56392,28.46268345,46.24528735,,100000,,,17187.05735,6.34461E-06,82812.94264,1.62301E-06,,,
86,18938.56277,60.33281624,97.94724128,80903.15718,22.97883084,37.3539854,,100000,,,17187.05735,4.26276E-06,82812.94265,1.09045E-06,,,
87,18920.01297,48.71620789,79.14002876,80952.1308,18.54979977,30.16640812,,100000,,,17187.05735,2.86402E-06,82812.94265,7.32642E-07,,,
88,18905.03966,39.33140765,63.92811832,80991.70081,14.9733037,24.35810394,,100000,,,17187.05735,1.92425E-06,82812.94265,4.92241E-07,,,
89,18892.95403,31.75133995,51.62976298,81023.66487,12.08563612,19.66570382,,100000,,,17187.05735,1.29285E-06,82812.94265,3.30722E-07,,,
90,18883.19964,25.63005736,41.69055147,81049.47975,9.754387384,15.87566997,,100000,,,17187.05735,8.68626E-07,82812.94265,2.22202E-07,,,
91,18875.32713,20.68753874,33.66030441,81070.32503,7.872510064,12.81502868,,100000,,,17187.05735,5.83604E-07,82812.94265,1.49291E-07,,,
92,18868.97364,16.69726194,27.17392158,81087.15518,6.35349257,10.34376937,,100000,,,17187.05735,3.92107E-07,82812.94265,1.00304E-07,,,
93,18863.8462,13.47607107,21.93559176,81100.74214,5.127440098,8.348630971,,100000,,,17187.05735,2.63445E-07,82812.94265,6.73916E-08,,,
94,18859.7083,10.87593183,17.70583141,81111.70994,4.137896292,6.738035535,,100000,,,17187.05735,1.77001E-07,82812.94265,4.52784E-08,,,
95,18856.36903,8.77723407,14.29088162,81120.56285,3.339268157,5.437965913,,100000,,,17187.05735,1.18922E-07,82812.94265,3.04212E-08,,,
96,18853.67429,7.083358411,11.53405785,81127.70829,2.694741376,4.388617035,,100000,,,17187.05735,7.99E-08,82812.94265,2.04391E-08,,,
97,18851.4997,5.716272904,9.308708128,81133.47532,2.174593699,3.541679206,,100000,,,17187.05735,5.36824E-08,82812.94265,1.37325E-08,,,
98,18849.74487,4.612967537,7.512490516,81138.12968,1.754831085,2.858136452,,100000,,,17187.05735,3.60677E-08,82812.94265,9.22643E-09,,,
99,18848.32878,3.722569064,6.062729026,81141.88592,1.416085295,2.306483768,,100000,,,17187.05735,2.42328E-08,82812.94265,6.19897E-09,,,
100,18847.18606,3.004007632,4.892649045,81144.91729,1.1427231,1.861284532,,100000,,,17187.05735,1.62813E-08,82812.94265,4.1649E-09,,,
101,18846.26393,2.424130485,3.948328338,81147.36361,0.922126669,1.502003816,,100000,,,17187.05735,1.09389E-08,82812.94265,2.79828E-09,,,
102,18845.51982,1.956177622,3.186229412,81149.33777,0.74411238,1.212065242,,100000,,,17187.05735,7.34954E-09,82812.94265,1.88008E-09,,,
